timestamp,camera_source,total_persons,total_violations,violation_details,image_path
2026-03-09 12:57:40,0,0,1,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 1, 'no vest': 0}",violations\violation_20260309_125740.jpg
2026-03-09 12:57:55,0,0,2,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 2, 'no vest': 0}",violations\violation_20260309_125755.jpg
2026-03-09 12:58:05,0,0,2,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 1, 'no vest': 1}",violations\violation_20260309_125805.jpg
2026-03-09 12:58:15,0,0,2,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 1, 'no vest': 1}",violations\violation_20260309_125815.jpg
2026-03-09 12:58:26,0,0,1,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 1, 'no vest': 0}",violations\violation_20260309_125826.jpg
2026-03-09 12:58:36,0,0,2,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 1, 'no vest': 1}",violations\violation_20260309_125836.jpg
2026-03-09 12:58:47,0,2,3,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 1, 'no vest': 2}",violations\violation_20260309_125847.jpg
2026-03-09 12:58:57,0,0,5,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 2, 'no vest': 3}",violations\violation_20260309_125857.jpg
2026-03-09 12:59:09,0,1,1,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 1, 'no vest': 0}",violations\violation_20260309_125909.jpg
2026-03-09 12:59:19,0,1,1,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 1, 'no vest': 0}",violations\violation_20260309_125919.jpg
2026-03-09 12:59:29,0,0,2,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 1, 'no vest': 1}",violations\violation_20260309_125929.jpg
2026-03-09 12:59:39,0,0,3,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 2, 'no vest': 1}",violations\violation_20260309_125939.jpg
2026-03-09 12:59:50,0,0,4,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 2, 'no vest': 2}",violations\violation_20260309_125950.jpg
2026-03-09 13:00:00,0,0,5,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 2, 'no vest': 3}",violations\violation_20260309_130000.jpg
2026-03-09 13:00:10,0,0,4,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 1, 'no vest': 3}",violations\violation_20260309_130010.jpg
2026-03-09 13:00:20,0,0,5,"{'no boot': 0, 'no boots': 0, 'no gloves': 0, 'no hat': 2, 'no vest': 3}",violations\violation_20260309_130020.jpg
